common_name,taxonomic_index,alphabetic_index,scientific_name,alpha_code,order,family,bioacoustic_category,description,high_or_low,bandpass_low_freq,bandpass_high_freq,typical_duration_ms,median_duration,approx_duration,oldbird_spectrogram,oldbird_nocturnal_spectrogram,oldbird_link,display_images,full_images,audio
Mute Swan,16,439,Cygnus olor,MUSW,Anseriformes,Anatidae,,,,,,,,,,,,,,
Trumpeter Swan,17,646,Cygnus buccinator,TRUS,Anseriformes,Anatidae,,,,,,,,,,,,,,
Tundra Swan,18,649,Cygnus columbianus,TUSW,Anseriformes,Anatidae,,,,,,,,,,,,,,
Egyptian Goose,20,242,Alopochen aegyptiaca,EGGO,Anseriformes,Anatidae,,,,,,,,,,,,,,
Muscovy Duck,22,438,Cairina moschata,MUDU,Anseriformes,Anatidae,,,,,,,,,,,,,,
Wood Duck,23,712,Aix sponsa,WODU,Anseriformes,Anatidae,,,,,,,,,,,,,,
Blue-winged Teal,26,110,Spatula discors,BWTE,Anseriformes,Anatidae,,,,,,,,,,,,,,
Cinnamon Teal,27,187,Spatula cyanoptera,CITE,Anseriformes,Anatidae,,,,,,,,,,,,,,
Northern Shoveler,28,460,Spatula clypeata,NSHO,Anseriformes,Anatidae,,,,,,,,,,,,,,
Gadwall,29,264,Mareca strepera,GADW,Anseriformes,Anatidae,,,,,,,,,,,,,,
Eurasian Wigeon,31,251,Mareca penelope,EUWI,Anseriformes,Anatidae,,,,,,,,,,,,,,
American Wigeon,32,28,Mareca americana,AMWI,Anseriformes,Anatidae,,,,,,,,,,,,,,
Hawaiian Duck,34,328,Anas wyvilliana,HAWD,Anseriformes,Anatidae,,,,,,,,,,,,,,
Mallard,36,411,Anas platyrhynchos,MALL,Anseriformes,Anatidae,,,,,,,,,,,,,,
Mexican Duck,37,423,Anas diazi,MEDU,Anseriformes,Anatidae,,,,,,,,,,,,,,
American Black Duck,38,14,Anas rubripes,ABDU,Anseriformes,Anatidae,,,,,,,,,,,,,,
Mottled Duck,39,430,Anas fulvigula,MODU,Anseriformes,Anatidae,,,,,,,,,,,,,,
Northern Pintail,41,456,Anas acuta,NOPI,Anseriformes,Anatidae,,,,,,,,,,,,,,
